Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1637441368985,7644.89990234375,-43553.24609375,0,0,-50226.15625,-43429.75390625,-51893.9765625,-58597.51171875,RestSSVEP
1637441368986,7805.65380859375,-43432.234375,0,0,-50224.34765625,-43246.9609375,-51931.015625,-58720.24609375,RestSSVEP
1637441368986,8501.552734375,-42485.2109375,0,0,-50163.8203125,-41855.25,-51710.42578125,-58331.32421875,RestSSVEP
1637441368986,8398.064453125,-42525.6484375,0,0,-50164.82421875,-41915.53515625,-51656.8046875,-58174.88671875,RestSSVEP
1637441368986,7719.6220703125,-43439.7421875,0,0,-50228.19140625,-43251.54296875,-51864.296875,-58534.66015625,RestSSVEP
1637441368986,7704.28857421875,-43554.87890625,0,0,-50237.3125,-43423.3359375,-51953.58984375,-58754.98046875,RestSSVEP
1637441368986,8407.6083984375,-42629.2265625,0,0,-50173.6328125,-42069.46875,-51753.20703125,-58424.890625,RestSSVEP
1637441368986,8489.4833984375,-42428.83984375,0,0,-50150.33984375,-41771.9921875,-51641.24609375,-58182.75390625,RestSSVEP
1637441368987,7846.3564453125,-43269.9375,0,0,-50202.17578125,-43014.74609375,-51819.30078125,-58481.1953125,RestSSVEP
1637441368987,7660.4794921875,-43598.26171875,0,0,-50231.09765625,-43495.2421875,-51953.92578125,-58766.19921875,RestSSVEP
1637441369009,8280.1591796875,-42800.37109375,0,0,-50183.33203125,-42323.36328125,-51798.0234375,-58515.125,RestSSVEP
1637441369009,8521.333984375,-42390.0625,0,0,-50157.046875,-41719.46484375,-51652.35546875,-58201.59375,RestSSVEP
1637441369010,7954.40478515625,-43109.16015625,0,0,-50199.1328125,-42777.015625,-51783.671875,-58406.4921875,RestSSVEP
1637441369010,7621.54248046875,-43628.7734375,0,0,-50239.01171875,-43535.25390625,-51949.90234375,-58742.73046875,RestSSVEP
1637441369010,8151.8154296875,-42971.02734375,0,0,-50198.375,-42575.625,-51840.46875,-58581.484375,RestSSVEP
1637441369010,8551.8447265625,-42367.53125,0,0,-50151.45703125,-41693.40234375,-51651.3046875,-58212.4140625,RestSSVEP
1637441369010,8075.95361328125,-42952.20703125,0,0,-50180.6484375,-42548.578125,-51739.125,-58331.52734375,RestSSVEP
1637441369010,7622.2353515625,-43616.74609375,0,0,-50224.28125,-43516.20703125,-51930.27734375,-58699.45703125,RestSSVEP
1637441369011,8031.65234375,-43136.4296875,0,0,-50196.20703125,-42821.62890625,-51872.4765625,-58639.46484375,RestSSVEP
1637441369011,8545.02734375,-42391.3125,0,0,-50148.3515625,-41734.26171875,-51671.62109375,-58247.39453125,RestSSVEP
1637441369053,8193.12109375,-42791.4296875,0,0,-50165.96484375,-42326.203125,-51709.0625,-58265.43359375,RestSSVEP
1637441369053,7653.55029296875,-43557.828125,0,0,-50214.734375,-43444.52734375,-51905.734375,-58634.1015625,RestSSVEP
1637441369053,7912.20458984375,-43291.7734375,0,0,-50205.21484375,-43042.75390625,-51897.6875,-58666.6015625,RestSSVEP
1637441369054,8510.6953125,-42451.34765625,0,0,-50155.4609375,-41809.54296875,-51691.8515625,-58277.94921875,RestSSVEP
1637441369054,8301.5947265625,-42647.75390625,0,0,-50161.94140625,-42102.9765625,-51677.25390625,-58196.43359375,RestSSVEP
1637441369054,7703.841796875,-43473.046875,0,0,-50212.61328125,-43309.96875,-51876.3203125,-58558.7109375,RestSSVEP
1637441369054,7801.787109375,-43422.9140625,0,0,-50219.69921875,-43233.1015625,-51925.6953125,-58695.81640625,RestSSVEP
1637441369054,8442.8125,-42549.65234375,0,0,-50166.90234375,-41959.296875,-51725.98046875,-58336.69140625,RestSSVEP
1637441369054,8393.83984375,-42527.5703125,0,0,-50157.875,-41927.46875,-51659.328125,-58165.36328125,RestSSVEP
1637441369054,7772.88623046875,-43362.13671875,0,0,-50210.37890625,-43144.5234375,-51848.37890625,-58495.8359375,RestSSVEP
1637441369093,7713.11767578125,-43527.31640625,0,0,-50224.83984375,-43390.97265625,-51942.03515625,-58717.96484375,RestSSVEP
1637441369093,8354.7919921875,-42685.5078125,0,0,-50171.57421875,-42158.1171875,-51761.56640625,-58409.890625,RestSSVEP
1637441369093,8473.9482421875,-42438.5625,0,0,-50148.91015625,-41796.7109375,-51646.5234375,-58153.33984375,RestSSVEP
1637441369093,7875.23486328125,-43218.55078125,0,0,-50193.01171875,-42937.7890625,-51804.9296875,-58420.28515625,RestSSVEP
1637441369094,7653.9970703125,-43595.55859375,0,0,-50225.64453125,-43482.43359375,-51945.5,-58713.83203125,RestSSVEP
1637441369094,8243.748046875,-42842.68359375,0,0,-50183.0625,-42382.28125,-51803.96875,-58487.1171875,RestSSVEP
1637441369094,8524.1064453125,-42385.43359375,0,0,-50147.45703125,-41712.55859375,-51646.90234375,-58162.97265625,RestSSVEP
1637441369094,7978.2763671875,-43071.20703125,0,0,-50188.13671875,-42729.875,-51776.40625,-58358.75,RestSSVEP
1637441369094,7615.79833984375,-43627.83203125,0,0,-50231.3671875,-43543.6328125,-51951.7578125,-58709.91796875,RestSSVEP
1637441369094,8124.09912109375,-43005.16015625,0,0,-50193.7265625,-42626.5859375,-51847.6875,-58564.90234375,RestSSVEP
1637441369131,8551.8447265625,-42362.79296875,0,0,-50149.42578125,-41685.19921875,-51657.38671875,-58190.33203125,RestSSVEP
1637441369131,8091.13037109375,-42917.8515625,0,0,-50184.58203125,-42496.74609375,-51740.0625,-58292.5234375,RestSSVEP
1637441369131,7596.12841796875,-43636.75,0,0,-50231.0078125,-43551.0546875,-51934.90234375,-58674.2890625,RestSSVEP
1637441369132,7992.78271484375,-43182.7890625,0,0,-50211.33984375,-42877.23828125,-51884.96875,-58634.79296875,RestSSVEP
1637441369132,8580.7900390625,-42344.0390625,0,0,-50157.15625,-41645.45703125,-51662.390625,-58220.328125,RestSSVEP
1637441369132,8208.1865234375,-42756.921875,0,0,-50183.33203125,-42257.4921875,-51702.1328125,-58231.90625,RestSSVEP
1637441369132,7595.5029296875,-43619.921875,0,0,-50236.05859375,-43526.71484375,-51926.43359375,-58644.25,RestSSVEP
1637441369132,7856.548828125,-43360.125,0,0,-50225.3515625,-43138.0625,-51930.61328125,-58707.484375,RestSSVEP
