Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1637440976909,9857.56640625,-40705.3671875,0,0,-50240.75390625,-40489.71484375,-54128.55078125,-58174.4609375,RestSSVEP
1637440976910,10223.6435546875,-39944.578125,0,0,-50195.73828125,-39373.53515625,-53908.47265625,-57792.4453125,RestSSVEP
1637440976910,10071.8525390625,-40337.74609375,0,0,-50216.8359375,-39948.84765625,-53938.8046875,-57800.515625,RestSSVEP
1637440976910,9699.7626953125,-41125.69140625,0,0,-50265.4765625,-41089.30078125,-54150.98828125,-58162.0546875,RestSSVEP
1637440976910,9791.427734375,-40869.65234375,0,0,-50254.4765625,-40702.953125,-54158.92578125,-58226.875,RestSSVEP
1637440976910,10181.197265625,-40021.3359375,0,0,-50215.7421875,-39462.38671875,-53958.85546875,-57869.40234375,RestSSVEP
1637440976910,10122.166015625,-40210.609375,0,0,-50228.953125,-39754.12109375,-53947.12109375,-57790.5703125,RestSSVEP
1637440976910,9741.359375,-41045.73828125,0,0,-50272.359375,-40964.66796875,-54136.70703125,-58127.5,RestSSVEP
1637440976910,9723.5673828125,-41017.1484375,0,0,-50280.94140625,-40905.45703125,-54203.1796875,-58283.8046875,RestSSVEP
1637440976910,10133.029296875,-40132.69140625,0,0,-50225.12890625,-39615.828125,-53988.76171875,-57942.984375,RestSSVEP
1637440976952,10183.857421875,-40087.5390625,0,0,-50220.94921875,-39566.5234375,-53914.5078125,-57773.76171875,RestSSVEP
1637440976952,9803.720703125,-40921.05859375,0,0,-50277.296875,-40784.98046875,-54102.44140625,-58080.4921875,RestSSVEP
1637440976952,9699.740234375,-41097.68359375,0,0,-50287.984375,-41029.890625,-54199,-58298.625,RestSSVEP
1637440976952,10064.8115234375,-40279.56640625,0,0,-50240.77734375,-39830.51953125,-54030.2890625,-58033.93359375,RestSSVEP
1637440976952,10198.7431640625,-40041.05078125,0,0,-50230.046875,-39496.359375,-53928.1875,-57809.48046875,RestSSVEP
1637440976953,9881.884765625,-40759.30078125,0,0,-50268.53515625,-40544.58984375,-54058.83203125,-58015.3828125,RestSSVEP
1637440976953,9701.4619140625,-41111.40625,0,0,-50286.0390625,-41053.2265625,-54185.078125,-58267.3984375,RestSSVEP
1637440976953,9992.4814453125,-40440.54296875,0,0,-50249.26953125,-40073.30078125,-54065.71875,-58096.18359375,RestSSVEP
1637440976953,10206.2314453125,-40013.109375,0,0,-50231.0078125,-39458.40625,-53925.015625,-57815.37890625,RestSSVEP
1637440976953,9943.732421875,-40615.0859375,0,0,-50270.9296875,-40342.37109375,-54037.62109375,-57971.73046875,RestSSVEP
1637440977018,9692.2529296875,-41126.42578125,0,0,-50300.27734375,-41088.8984375,-54197.99609375,-58268.0703125,RestSSVEP
1637440977018,9911.1435546875,-40604.9375,0,0,-50271.10546875,-40324.37890625,-54128.390625,-58176.40625,RestSSVEP
1637440977018,10197.7822265625,-40018.5859375,0,0,-50232.953125,-39470.87890625,-53947.43359375,-57836.48046875,RestSSVEP
1637440977018,10016.7333984375,-40474.80859375,0,0,-50251.953125,-40142.2578125,-53994.73046875,-57890.05859375,RestSSVEP
1637440977018,9720.2373046875,-41101.9296875,0,0,-50288.16015625,-41046.41015625,-54168.1328125,-58207.31640625,RestSSVEP
1637440977018,9852.939453125,-40753.15234375,0,0,-50276.046875,-40523.734375,-54138.13671875,-58190.1953125,RestSSVEP
1637440977018,10185.3095703125,-40050.01171875,0,0,-50230.203125,-39499.53515625,-53943.5,-57854.78515625,RestSSVEP
1637440977018,10076.3447265625,-40340.18359375,0,0,-50246.4296875,-39916.9296875,-53954.00390625,-57830.84765625,RestSSVEP
1637440977018,9746.388671875,-41043.45703125,0,0,-50288.296875,-40941.17578125,-54136.21484375,-58146.56640625,RestSSVEP
1637440977018,9797.7978515625,-40874.5234375,0,0,-50278.7734375,-40704.11328125,-54162.12109375,-58219.09765625,RestSSVEP
1637440977031,10147.4462890625,-40119.52734375,0,0,-50232.015625,-39613.81640625,-53979.93359375,-57895.7578125,RestSSVEP
1637440977031,10125.072265625,-40225.29296875,0,0,-50237.84765625,-39777.140625,-53950.62890625,-57800.0234375,RestSSVEP
1637440977031,9784.9677734375,-40963.52734375,0,0,-50284.1171875,-40842.1796875,-54124.90625,-58100.87890625,RestSSVEP
1637440977032,9746.388671875,-40996.69921875,0,0,-50286.91015625,-40877.85546875,-54182.21484375,-58228.953125,RestSSVEP
1637440977032,10092.2373046875,-40238.66015625,0,0,-50242.05078125,-39776.8515625,-54018.890625,-57946.13671875,RestSSVEP
1637440977032,10165.23828125,-40134.546875,0,0,-50235.92578125,-39634.515625,-53938.37890625,-57773.42578125,RestSSVEP
1637440977032,9842.76953125,-40854.36328125,0,0,-50275.421875,-40686.45703125,-54087.95703125,-58017.6171875,RestSSVEP
1637440977032,9718.9404296875,-41074.55078125,0,0,-50290.12890625,-40999.515625,-54192.9453125,-58233.15625,RestSSVEP
1637440977032,10033.072265625,-40363.3828125,0,0,-50254.3203125,-39958.37109375,-54056.80078125,-58012.03125,RestSSVEP
1637440977032,10193.69140625,-40072.3203125,0,0,-50234.13671875,-39542.0703125,-53936.2578125,-57770.00390625,RestSSVEP
1637440977069,9904.013671875,-40733.8203125,0,0,-50271.66796875,-40506.03125,-54063.19140625,-57968.82421875,RestSSVEP
1637440977070,9705.8876953125,-41123.65625,0,0,-50293.546875,-41072,-54201.86328125,-58241.40234375,RestSSVEP
1637440977070,9981.3056640625,-40494.7890625,0,0,-50256.35546875,-40151.17578125,-54084.44921875,-58069.40625,RestSSVEP
1637440977070,10222.2578125,-40019.8359375,0,0,-50226.0234375,-39468.8671875,-53927.515625,-57773.3125,RestSSVEP
1637440977070,9980.8359375,-40584.93359375,0,0,-50258.8125,-40299.34765625,-54023.25,-57910.93359375,RestSSVEP
1637440977070,9708.7255859375,-41147.3046875,0,0,-50293.4375,-41110.3359375,-54191.4453125,-58230.98828125,RestSSVEP
1637440977070,9913.423828125,-40656.3046875,0,0,-50268.828125,-40390.31640625,-54129.7109375,-58153.046875,RestSSVEP
